epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.848939,0.09235359,0.20527191,0.05770072,10.0,-2.7732787,0.0,50.0,0.02
1,0.84418017,0.091484465,0.20376848,0.050810285,20.0,-4.2775,0.0,100.0,0.06
2,0.84874886,0.09128269,0.20537825,0.05540913,30.0,-6.5798635,0.0,150.0,0.0
3,0.84985137,0.093050696,0.20524971,0.055239502,40.0,-6.956313,0.0,200.0,0.02
4,0.84736913,0.09348115,0.20490251,0.056475263,50.0,-8.479408,0.1,250.0,0.04
5,0.84588987,0.09557303,0.20397596,0.059899908,60.0,-10.488213,0.0,300.0,0.0
6,0.84717566,0.095050566,0.20387514,0.06064517,70.0,-11.256769,0.0,350.0,0.06
7,0.8468764,0.09543968,0.20412457,0.060675174,80.0,-14.059095,0.0,400.0,0.0
8,0.84601146,0.095534645,0.20407267,0.0607142,90.0,-16.691168,0.0,450.0,0.02
9,0.8455381,0.09644195,0.20385197,0.06318972,100.0,-15.836769,0.1,500.0,0.08
10,0.8464264,0.09775215,0.20404065,0.0640189,110.0,-17.178568,0.0,550.0,0.04
11,0.8464279,0.09862369,0.20369126,0.06537412,120.0,-16.002148,0.1,600.0,0.0
12,0.84589267,0.09923366,0.20362683,0.067343704,130.0,-20.733747,0.1,650.0,0.04
13,0.8455953,0.10084993,0.20317993,0.06827001,140.0,-20.253372,0.0,700.0,0.02
14,0.845845,0.10057632,0.20321308,0.06956005,150.0,-18.191433,0.0,750.0,0.06
15,0.8457195,0.1004696,0.20304528,0.069497265,160.0,-18.729885,0.1,800.0,0.02
16,0.8463521,0.100054026,0.20333202,0.06960092,170.0,-24.2486,0.0,850.0,0.02
17,0.8460381,0.10017273,0.20333447,0.07060611,180.0,-23.74069,0.0,900.0,0.06
18,0.8461943,0.10014057,0.20348595,0.07157655,190.0,-25.407055,0.0,950.0,0.04
19,0.84639376,0.10040582,0.20345934,0.0717699,200.0,-23.028374,0.0,1000.0,0.04
20,0.84609866,0.09994534,0.20335954,0.07139245,210.0,-17.036777,0.2,1050.0,0.02
21,0.84609216,0.09963701,0.20321187,0.071487844,220.0,-23.017328,0.0,1100.0,0.04
22,0.8459851,0.09938436,0.20321885,0.07127142,230.0,-22.664791,0.1,1150.0,0.08
23,0.84636277,0.09973226,0.20336641,0.071650974,240.0,-23.583223,0.0,1200.0,0.04
24,0.8464597,0.099569716,0.20353562,0.07170939,250.0,-27.604664,0.0,1250.0,0.06
25,0.84630805,0.099799134,0.20365103,0.072370365,260.0,-20.93125,0.1,1300.0,0.0
26,0.8462477,0.09966138,0.20362651,0.07292379,270.0,-24.790953,0.0,1350.0,0.04
27,0.84644604,0.10015958,0.20374319,0.07294943,280.0,-26.737854,0.0,1400.0,0.04
28,0.8464925,0.10038001,0.20370291,0.07314061,290.0,-26.458496,0.0,1450.0,0.08
29,0.8464404,0.10018382,0.20374194,0.0733657,300.0,-26.515644,0.1,1500.0,0.04
30,0.84673077,0.09994703,0.20380141,0.07545195,310.0,-29.219809,0.1,1550.0,0.04
31,0.8464915,0.09978509,0.20386566,0.07572946,320.0,-30.035427,0.1,1600.0,0.06
32,0.846018,0.09973294,0.20371851,0.07584188,330.0,-28.06391,0.0,1650.0,0.04
33,0.8460419,0.09993953,0.20366932,0.07595239,340.0,-26.570328,0.0,1700.0,0.1
34,0.84598917,0.09980994,0.20367622,0.07683408,350.0,-27.088074,0.0,1750.0,0.04
