epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8425481,0.071946405,0.20162088,0.03662405,10.0,-2.1273475,0.1,50.0,0.04
1,0.84007555,0.07265542,0.20112166,0.035153728,20.0,-4.022284,0.0,100.0,0.1
2,0.84166956,0.071077816,0.20168184,0.035154577,30.0,-4.7643085,0.0,150.0,0.12
3,0.840868,0.07087261,0.20073184,0.04835927,40.0,-8.362808,0.0,200.0,0.04
4,0.8411297,0.070578136,0.20125158,0.047522135,50.0,-9.453938,0.0,250.0,0.16
5,0.84139276,0.0703719,0.20133466,0.048163604,60.0,-10.039438,0.0,300.0,0.12
6,0.8405638,0.073335744,0.20153241,0.05083646,70.0,-11.987553,0.1,350.0,0.04
7,0.83976406,0.07596842,0.20170559,0.05280057,80.0,-12.367866,0.1,400.0,0.0
8,0.8404407,0.075475365,0.2020186,0.05439746,90.0,-16.773174,0.0,450.0,0.06
9,0.8397482,0.07537882,0.20181729,0.053661205,100.0,-13.921553,0.1,500.0,0.04
10,0.8406203,0.07508866,0.20209764,0.053162426,110.0,-16.905247,0.0,550.0,0.08
11,0.8402998,0.07486241,0.20206773,0.053683776,120.0,-15.790291,0.1,600.0,0.08
12,0.840334,0.07459239,0.20209417,0.054699745,130.0,-21.453281,0.0,650.0,0.04
13,0.84096223,0.07439285,0.2022913,0.05429779,140.0,-18.046585,0.0,700.0,0.06
14,0.84000707,0.07444003,0.2020914,0.054039057,150.0,-21.67789,0.0,750.0,0.08
15,0.83989376,0.0755454,0.20208836,0.05520213,160.0,-24.765331,0.0,800.0,0.08
16,0.8402125,0.075553834,0.20204794,0.05580051,170.0,-21.490816,0.1,850.0,0.02
17,0.8394616,0.07625073,0.20182063,0.0566778,180.0,-23.744558,0.0,900.0,0.08
18,0.83904177,0.07704713,0.20182365,0.05867607,190.0,-24.828123,0.1,950.0,0.06
19,0.8392455,0.07692688,0.20200591,0.059678152,200.0,-22.534061,0.1,1000.0,0.06
20,0.83936816,0.078334264,0.20194626,0.062990434,210.0,-25.71701,0.0,1050.0,0.12
21,0.83870745,0.08034947,0.20158218,0.06518818,220.0,-25.719187,0.1,1100.0,0.08
22,0.83885545,0.08005864,0.20163368,0.06582358,230.0,-25.887741,0.0,1150.0,0.06
23,0.8388013,0.07985192,0.20163426,0.06550741,240.0,-24.619131,0.0,1200.0,0.12
24,0.8385518,0.07955482,0.20161043,0.06590618,250.0,-29.553326,0.0,1250.0,0.08
