epoch,stats_ag/mean,stats_ag/std,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.83860356,0.07260393,0.84308714,0.09040839,0.20381622,0.03829128,10.0,-2.2390661,0.0,50.0,0.08
1,0.84179026,0.07153846,0.84596825,0.093500115,0.2039927,0.05745835,20.0,-4.3041205,0.0,100.0,0.02
2,0.83398634,0.1314251,0.83708715,0.15648593,0.20343149,0.104402415,30.0,-5.647092,0.0,150.0,0.0
3,0.8247354,0.15142725,0.8247716,0.17913862,0.2059904,0.12946752,40.0,-6.119598,0.1,200.0,0.0
4,0.821183,0.16630043,0.82112664,0.19532056,0.2056258,0.138553,50.0,-6.7848244,0.0,250.0,0.0
5,0.82014984,0.16980875,0.8194766,0.19874072,0.20302106,0.14113155,60.0,-7.948443,0.0,300.0,0.02
6,0.818336,0.17282705,0.81633663,0.20191352,0.20173857,0.14589798,70.0,-7.888232,0.1,350.0,0.02
7,0.8163964,0.17299485,0.81466573,0.20227623,0.20212935,0.14869843,80.0,-11.41751,0.0,400.0,0.06
8,0.8175388,0.17508858,0.8165639,0.20478666,0.20194578,0.15157238,90.0,-9.883051,0.0,450.0,0.04
9,0.81830835,0.1769713,0.8169635,0.20702766,0.20193027,0.15298718,100.0,-10.58249,0.0,500.0,0.08
10,0.8178213,0.17673604,0.81673956,0.20718418,0.20218414,0.15385205,110.0,-12.207055,0.1,550.0,0.1
11,0.8173673,0.17587422,0.81638545,0.20572948,0.20252079,0.15615644,120.0,-6.309249,0.4,600.0,0.12
12,0.81711817,0.17523496,0.81625104,0.20470154,0.20198415,0.15563305,130.0,-14.939273,0.1,650.0,0.16
13,0.81847924,0.17245828,0.8183238,0.20172782,0.20179263,0.15543848,140.0,-15.470388,0.1,700.0,0.1
14,0.8201628,0.17177345,0.8203451,0.20112894,0.20186569,0.15572274,150.0,-14.376425,0.3,750.0,0.08
15,0.81999487,0.16969056,0.82044953,0.1992877,0.20234878,0.1548532,160.0,-6.3356886,0.4,800.0,0.18
16,0.8200526,0.16963534,0.8207121,0.19847764,0.20236892,0.15509316,170.0,-10.773678,0.4,850.0,0.12
17,0.8209098,0.1683749,0.8215759,0.1969524,0.20237646,0.15491295,180.0,-16.15741,0.2,900.0,0.14
18,0.82229537,0.16724658,0.82313794,0.19553106,0.2028472,0.15477972,190.0,-14.540959,0.2,950.0,0.2
