epoch,stats_ag/mean,stats_ag/std,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8385784,0.10271447,0.83742803,0.11770993,0.20106976,0.0843776,10.0,-2.6408937,0.0,50.0,0.08
1,0.8284916,0.11815568,0.826444,0.13334243,0.20027836,0.09597373,20.0,-4.70021,0.0,100.0,0.02
2,0.8249244,0.119430505,0.8223576,0.13587092,0.19880138,0.09593643,30.0,-6.9570527,0.0,150.0,0.02
3,0.8253362,0.12062404,0.8223229,0.13693075,0.1999769,0.09652568,40.0,-7.8518515,0.0,200.0,0.0
4,0.8253525,0.12295655,0.82181495,0.13991608,0.2005989,0.09726754,50.0,-6.8345985,0.2,250.0,0.02
5,0.8251741,0.124107696,0.82120234,0.14217904,0.20057043,0.10192543,60.0,-7.367877,0.3,300.0,0.02
6,0.8269553,0.12611668,0.8224705,0.14381008,0.19979648,0.105995834,70.0,-9.9517355,0.0,350.0,0.02
7,0.82767695,0.12465551,0.82282823,0.14195028,0.20008047,0.107378244,80.0,-8.876298,0.2,400.0,0.04
8,0.82620335,0.12617762,0.8215351,0.14318682,0.20023488,0.10978565,90.0,-8.303729,0.4,450.0,0.08
9,0.8269777,0.124739446,0.82250404,0.1411335,0.2001195,0.11311738,100.0,-5.793767,0.3,500.0,0.22
10,0.8278341,0.12323773,0.82385325,0.13937332,0.20056295,0.11603172,110.0,-3.6872697,0.7,550.0,0.22
11,0.8281579,0.120703556,0.8246446,0.13598455,0.1996685,0.1191372,120.0,-5.065538,0.5,600.0,0.36
12,0.82920974,0.11890971,0.82604605,0.13343823,0.19944526,0.12098795,130.0,-3.467378,0.8,650.0,0.38
13,0.8303556,0.11754062,0.8275792,0.13147095,0.19863194,0.123239316,140.0,-2.040389,1.0,700.0,0.4
14,0.8312316,0.11625705,0.82835096,0.12999664,0.19965704,0.12457423,150.0,-2.4249027,0.9,750.0,0.44
15,0.8321344,0.115174145,0.8294008,0.12835608,0.20003648,0.12585019,160.0,-4.052394,0.8,800.0,0.4
16,0.83310914,0.11457759,0.83043295,0.12735587,0.20038137,0.12780061,170.0,-2.8033738,0.9,850.0,0.34
